state, learning_error, dispersion, majority_error, threshold 
bp_step,0.24468085106382978,0.09607256889218829,0.3404255319148936,0.5737447279022228,
bp_step,0.23404255319148937,0.09782360991987793,0.3404255319148936,0.5716274244723474,
bp_step,0.23404255319148937,0.09956243458126302,0.3404255319148936,0.5702175283461486,
resub,0.23404255319148937,0.09688485899926413,0.3404255319148936,0.5712742135923007,
...restart 0
bp_step,0.3404255319148936,2.802245397652836E-4,0.3404255319148936,0.0,
bp_step,0.3404255319148936,3.0900388980603655E-4,0.3404255319148936,0.0,
bp_step,0.3404255319148936,3.243317230919862E-4,0.3404255319148936,0.0,
bp_step,0.3404255319148936,3.4113844830419016E-4,0.3404255319148936,0.0,
bp_step,0.3404255319148936,3.595833609795207E-4,0.3404255319148936,0.0,
bp_step,0.3404255319148936,3.7990384671648947E-4,0.3404255319148936,0.0,
bp_step,0.3404255319148936,4.0238298514116977E-4,0.3404255319148936,0.0,
bp_step,0.3404255319148936,4.273610358533908E-4,0.3404255319148936,0.0,
bp_step,0.3404255319148936,4.552499773632368E-4,0.3404255319148936,0.0,
bp_step,0.3404255319148936,4.8655250653240056E-4,0.3404255319148936,0.0,
resub,0.32978723404255317,2.0533063572969468E-4,0.3404255319148936,0.9958932997581189,
bp_step,0.30851063829787234,2.2058774430910866E-4,0.3404255319148936,0.9957437796211943,
bp_step,0.30851063829787234,2.3357659681844112E-4,0.3404255319148936,0.9954718623928117,
bp_step,0.30851063829787234,2.481187138001495E-4,0.3404255319148936,0.9951679433731362,
bp_step,0.30851063829787234,2.6441398878129796E-4,0.3404255319148936,0.9948258443330693,
bp_step,0.30851063829787234,2.8278445013019127E-4,0.3404255319148936,0.994438387959941,
bp_step,0.30851063829787234,3.0363247866105336E-4,0.3404255319148936,0.9939965608309755,
bp_step,0.30851063829787234,3.2746777332315347E-4,0.3404255319148936,0.9934889092216043,
bp_step,0.30851063829787234,3.549445757523584E-4,0.3404255319148936,0.9929006853036451,
bp_step,0.30851063829787234,3.869151209486832E-4,0.3404255319148936,0.9922126199048185,
bp_step,0.30851063829787234,4.2450798254778377E-4,0.3404255319148936,0.9913991221802383,
resub,0.32978723404255317,4.110089181306176E-4,0.3404255319148936,0.992063829973395,
bp_step,0.30851063829787234,4.716686417328697E-4,0.3404255319148936,0.9903598254197616,
bp_step,0.30851063829787234,5.256486688013373E-4,0.3404255319148936,0.9891687749095404,
